('Calibration Fields_Raw_DN_Signal_625', [0.0, 103.26123])
('Calibration Fields_Raw_DN_Signal_624', [0.0, 109.35345])
('Calibration Fields_Raw_DN_Signal_627', [0.0, 103.009964])
('Calibration Fields_Raw_DN_Signal_626', [0.0, 104.855064])
('Calibration Fields_Raw_DN_Signal_621', [0.0, 112.326385])
('Calibration Fields_Raw_DN_Signal_620', [0.0, 108.148926])
('Calibration Fields_Raw_DN_Signal_788', [0.0, 111.8204])
('Calibration Fields_Raw_DN_Signal_622', [0.0, 113.248146])
('Calibration Fields_Raw_DN_Signal_786', [0.0, 105.08925])
('Calibration Fields_Raw_DN_Signal_787', [0.0, 107.37937])
('Calibration Fields_Raw_DN_Signal_784', [0.0, 111.4651])
('Calibration Fields_Raw_DN_Signal_785', [0.0, 113.760284])
('Calibration Fields_Raw_DN_Signal_782', [0.0, 103.3766])
('Calibration Fields_Raw_DN_Signal_628', [0.0, 101.29976])
('Calibration Fields_Raw_DN_Signal_780', [0.0, 101.908615])
('Calibration Fields_Raw_DN_Signal_781', [0.0, 102.92163])
('Calibration Fields_Raw_DN_Signal_711', [0.0, 112.326385])
('Calibration Fields_Raw_DN_Signal_710', [0.0, 119.81751])
('Calibration Fields_Raw_DN_Signal_713', [0.0, 114.52504])
('Calibration Fields_Raw_DN_Signal_499', [0.0, 114.96283])
('Calibration Fields_Raw_DN_Signal_715', [0.0, 104.10545])
('Calibration Fields_Raw_DN_Signal_714', [0.0, 109.3399])
('Calibration Fields_Raw_DN_Signal_717', [0.0, 101.704346])
('Calibration Fields_Raw_DN_Signal_716', [0.0, 102.49206])
('Calibration Fields_Raw_DN_Signal_492', [0.0, 114.376526])
('Calibration Fields_Raw_DN_Signal_493', [0.0, 109.173904])
('Calibration Fields_Raw_DN_Signal_490', [0.0, 114.06792])
('Calibration Fields_Raw_DN_Signal_491', [0.0, 113.09939])
('Calibration Fields_Raw_DN_Signal_496', [0.0, 103.32608])
('Calibration Fields_Raw_DN_Signal_497', [0.0, 100.86254])
('Calibration Fields_Raw_DN_Signal_494', [0.0, 104.31815])
('Calibration Fields_Raw_DN_Signal_495', [0.0, 103.76396])
